Source,Target,weight
Pierre Jaans,Niels Thygesen,1
Robin Leigh-Pemberton,Niels Thygesen,1
Wim Duisenberg,Niels Thygesen,1
?,Pierre Jaans,0
Alexandre Lamfalussy,Pierre Jaans,1
Carlo Azeglio Ciampi,Pierre Jaans,0
Demetrios Chalikias,Pierre Jaans,0
Erik Hoffmeyer,Pierre Jaans,0
Frans Andriessen,Pierre Jaans,0
Jacques Delors,Pierre Jaans,5
Jacques de Larosière,Pierre Jaans,0
Jean Godeaux,Pierre Jaans,0
José Alberto Tavares Moreira,Pierre Jaans,0
Karl Otto Pöhl,Pierre Jaans,1
Mariano Rubio,Pierre Jaans,0
Maurice F. Doyle,Pierre Jaans,1
Miguel Boyer,Pierre Jaans,0
Niels Thygesen,Pierre Jaans,0
Pierre Jaans,Pierre Jaans,0
Robin Leigh-Pemberton,Pierre Jaans,0
Wim Duisenberg,Pierre Jaans,0
?,Robin Leigh-Pemberton,0
Alexandre Lamfalussy,Robin Leigh-Pemberton,2
Carlo Azeglio Ciampi,Robin Leigh-Pemberton,0
Demetrios Chalikias,Robin Leigh-Pemberton,0
Erik Hoffmeyer,Robin Leigh-Pemberton,0
Frans Andriessen,Robin Leigh-Pemberton,0
Jacques Delors,Robin Leigh-Pemberton,1
Jacques de Larosière,Robin Leigh-Pemberton,2
Jean Godeaux,Robin Leigh-Pemberton,0
José Alberto Tavares Moreira,Robin Leigh-Pemberton,0
Karl Otto Pöhl,Robin Leigh-Pemberton,6
Mariano Rubio,Robin Leigh-Pemberton,0
Maurice F. Doyle,Robin Leigh-Pemberton,2
Miguel Boyer,Robin Leigh-Pemberton,0
Niels Thygesen,Robin Leigh-Pemberton,2
Pierre Jaans,Robin Leigh-Pemberton,2
Robin Leigh-Pemberton,Robin Leigh-Pemberton,0
Wim Duisenberg,Robin Leigh-Pemberton,4
?,Wim Duisenberg,0
Alexandre Lamfalussy,Wim Duisenberg,3
Carlo Azeglio Ciampi,Wim Duisenberg,0
Demetrios Chalikias,Wim Duisenberg,0
Erik Hoffmeyer,Wim Duisenberg,1
Frans Andriessen,Wim Duisenberg,1
Jacques Delors,Wim Duisenberg,9
Jacques de Larosière,Wim Duisenberg,7
Jean Godeaux,Wim Duisenberg,0
José Alberto Tavares Moreira,Wim Duisenberg,0
Karl Otto Pöhl,Wim Duisenberg,4
Mariano Rubio,Wim Duisenberg,0
Maurice F. Doyle,Wim Duisenberg,1
Miguel Boyer,Wim Duisenberg,0
Niels Thygesen,Wim Duisenberg,0
Pierre Jaans,Wim Duisenberg,0
Robin Leigh-Pemberton,Wim Duisenberg,2
Wim Duisenberg,Wim Duisenberg,0
